,Node,Target,Weight,Latitude,Longitude
0,0,20,1.2228111028671265,-33.4,18.48
1,1,0,1.4868879318237305,-31.48,19.76
2,2,17,3.1424756050109863,-32.83,17.86
3,3,3,1.6840206384658813,-34.42,18.44
4,4,4,0.9895402193069458,-33.55,18.4
5,5,9,1.623497724533081,-34.3,18.32
6,6,6,2.293370485305786,-32.96,19.43
7,7,17,1.241073489189148,-34.43,19.22
8,8,8,2.0972704887390137,-33.97,18.92
9,9,9,1.997238278388977,-34.15,18.48
10,10,1,1.79996919631958,-33.5,21.27
11,11,9,1.6122750043869019,-33.88,18.59
12,12,1,2.2244491577148438,-33.5,18.97
13,13,0,1.929839015007019,-33.01,18.98
14,14,9,1.2713124752044678,-33.74,18.37
15,15,1,1.9342968463897705,-33.79,19.9
16,16,16,1.1644164323806763,-34.03,18.26
17,17,7,1.3647613525390625,-34.8002,20.0569
18,18,1,2.318567991256714,-34.15,19.9
19,19,0,1.188480257987976,-33.65,19.01
20,20,1,2.6682701110839844,-33.66,19.42
