,Node,Target,Weight,Latitude,Longitude
0,0,20,1.5650228261947632,-33.4,18.48
1,1,0,1.2127617597579956,-31.48,19.76
2,2,17,3.7030510902404785,-32.83,17.86
3,3,17,1.6268013715744019,-34.42,18.44
4,4,0,1.0954335927963257,-33.55,18.4
5,5,12,1.351502776145935,-34.3,18.32
6,6,1,2.4039931297302246,-32.96,19.43
7,7,7,1.4017788171768188,-34.43,19.22
8,8,8,1.6671711206436157,-33.97,18.92
9,9,9,2.1851248741149902,-34.15,18.48
10,10,1,1.3044320344924927,-33.5,21.27
11,11,11,1.2388122081756592,-33.88,18.59
12,12,1,2.0071046352386475,-33.5,18.97
13,13,1,2.9765074253082275,-33.01,18.98
14,14,20,1.400557041168213,-33.74,18.37
15,15,1,2.026540517807007,-33.79,19.9
16,16,16,1.2439188957214355,-34.03,18.26
17,17,7,1.1843897104263306,-34.8002,20.0569
18,18,1,2.6260898113250732,-34.15,19.9
19,19,17,1.4024646282196045,-33.65,19.01
20,20,1,2.092512607574463,-33.66,19.42
