,Node,Target,Weight,Latitude,Longitude
0,0,20,1.2816740274429321,-33.4,18.48
1,1,0,1.4510869979858398,-31.48,19.76
2,2,17,3.225700616836548,-32.83,17.86
3,3,3,1.7593902349472046,-34.42,18.44
4,4,4,0.9086154103279114,-33.55,18.4
5,5,9,1.6017135381698608,-34.3,18.32
6,6,6,2.245718479156494,-32.96,19.43
7,7,7,1.1838170289993286,-34.43,19.22
8,8,8,1.9319268465042114,-33.97,18.92
9,9,9,1.9948289394378662,-34.15,18.48
10,10,1,1.6204150915145874,-33.5,21.27
11,11,9,1.5610517263412476,-33.88,18.59
12,12,1,2.0539956092834473,-33.5,18.97
13,13,0,1.9373456239700317,-33.01,18.98
14,14,9,1.370734453201294,-33.74,18.37
15,15,1,2.021991014480591,-33.79,19.9
16,16,16,1.1797155141830444,-34.03,18.26
17,17,7,1.200535774230957,-34.8002,20.0569
18,18,1,2.480470657348633,-34.15,19.9
19,19,17,1.354431390762329,-33.65,19.01
20,20,1,2.7051520347595215,-33.66,19.42
