,Node,Target,Weight,Latitude,Longitude
0,0,20,1.964796781539917,-33.4,18.48
1,1,1,1.870813012123108,-31.48,19.76
2,2,5,1.2075669765472412,-32.83,17.86
3,3,1,1.850989580154419,-34.42,18.44
4,4,0,1.5954385995864868,-33.55,18.4
5,5,20,0.8890674114227295,-34.3,18.32
6,6,10,1.533762812614441,-32.96,19.43
7,7,7,1.0885318517684937,-34.43,19.22
8,8,3,1.478394627571106,-33.97,18.92
9,9,20,1.7275899648666382,-34.15,18.48
10,10,6,1.3770314455032349,-33.5,21.27
11,11,11,1.2716338634490967,-33.88,18.59
12,12,20,1.6718199253082275,-33.5,18.97
13,13,1,2.521167039871216,-33.01,18.98
14,14,20,1.2681622505187988,-33.74,18.37
15,15,1,1.2939727306365967,-33.79,19.9
16,16,20,1.4486165046691895,-34.03,18.26
17,17,18,1.4108264446258545,-34.8002,20.0569
18,18,17,1.6386034488677979,-34.15,19.9
19,19,9,1.5651103258132935,-33.65,19.01
20,20,1,2.454383611679077,-33.66,19.42
