,Node,Target,Weight,Latitude,Longitude
0,0,0,1.7935407161712646,-33.4,18.48
1,1,13,1.695339560508728,-31.48,19.76
2,2,17,1.9479384422302246,-32.83,17.86
3,3,5,2.05842924118042,-34.42,18.44
4,4,3,1.2758994102478027,-33.55,18.4
5,5,11,1.1487501859664917,-34.3,18.32
6,6,6,2.114084482192993,-32.96,19.43
7,7,7,1.623024344444275,-34.43,19.22
8,8,8,1.8644704818725586,-33.97,18.92
9,9,9,2.248047113418579,-34.15,18.48
10,10,6,1.679799199104309,-33.5,21.27
11,11,9,1.0395557880401611,-33.88,18.59
12,12,1,2.4263274669647217,-33.5,18.97
13,13,1,2.6137404441833496,-33.01,18.98
14,14,15,1.2883929014205933,-33.74,18.37
15,15,1,2.013078212738037,-33.79,19.9
16,16,16,1.3718864917755127,-34.03,18.26
17,17,18,1.2419244050979614,-34.8002,20.0569
18,18,1,1.9191447496414185,-34.15,19.9
19,19,3,1.3489564657211304,-33.65,19.01
20,20,1,2.9417765140533447,-33.66,19.42
