,Node,Target,Weight,Latitude,Longitude
0,0,0,2.4083893299102783,-33.4,18.48
1,1,13,2.431631326675415,-31.48,19.76
2,2,0,1.5287436246871948,-32.83,17.86
3,3,5,2.3267602920532227,-34.42,18.44
4,4,3,1.9064494371414185,-33.55,18.4
5,5,3,1.4610633850097656,-34.3,18.32
6,6,6,2.06117582321167,-32.96,19.43
7,7,7,1.43923020362854,-34.43,19.22
8,8,7,2.402372121810913,-33.97,18.92
9,9,9,2.1230885982513428,-34.15,18.48
10,10,4,1.8044252395629883,-33.5,21.27
11,11,7,1.4174582958221436,-33.88,18.59
12,12,1,2.9764657020568848,-33.5,18.97
13,13,1,2.71128511428833,-33.01,18.98
14,14,3,1.5405895709991455,-33.74,18.37
15,15,1,1.8725554943084717,-33.79,19.9
16,16,14,1.1807301044464111,-34.03,18.26
17,17,5,1.796554446220398,-34.8002,20.0569
18,18,1,1.6746532917022705,-34.15,19.9
19,19,1,1.7579121589660645,-33.65,19.01
20,20,1,2.3702986240386963,-33.66,19.42
