,Node,Target,Weight,Latitude,Longitude
0,0,14,1.223679542541504,-33.4,18.48
1,1,13,1.3164743185043335,-31.48,19.76
2,2,17,3.1680150032043457,-32.83,17.86
3,3,5,1.7103158235549927,-34.42,18.44
4,4,0,0.8836035132408142,-33.55,18.4
5,5,9,1.3074157238006592,-34.3,18.32
6,6,1,2.20340895652771,-32.96,19.43
7,7,7,1.582438588142395,-34.43,19.22
8,8,8,1.683264136314392,-33.97,18.92
9,9,9,2.096959114074707,-34.15,18.48
10,10,12,1.3550705909729004,-33.5,21.27
11,11,9,1.2904679775238037,-33.88,18.59
12,12,1,1.6647828817367554,-33.5,18.97
13,13,1,2.68168044090271,-33.01,18.98
14,14,9,1.2538074254989624,-33.74,18.37
15,15,1,1.6721707582473755,-33.79,19.9
16,16,16,1.1041715145111084,-34.03,18.26
17,17,7,1.062347173690796,-34.8002,20.0569
18,18,1,2.2884461879730225,-34.15,19.9
19,19,0,1.0435158014297485,-33.65,19.01
20,20,1,2.3199856281280518,-33.66,19.42
