,Node,Target,Weight,Latitude,Longitude
0,0,20,1.5747298002243042,-33.4,18.48
1,1,13,1.5061675310134888,-31.48,19.76
2,2,17,2.9688432216644287,-32.83,17.86
3,3,17,1.6957076787948608,-34.42,18.44
4,4,4,1.173927664756775,-33.55,18.4
5,5,17,1.116886854171753,-34.3,18.32
6,6,1,2.5791285037994385,-32.96,19.43
7,7,7,1.3966854810714722,-34.43,19.22
8,8,8,1.613621473312378,-33.97,18.92
9,9,9,2.360532522201538,-34.15,18.48
10,10,17,1.3137463331222534,-33.5,21.27
11,11,11,1.2587265968322754,-33.88,18.59
12,12,0,1.4131548404693604,-33.5,18.97
13,13,1,2.721449136734009,-33.01,18.98
14,14,20,1.4785887002944946,-33.74,18.37
15,15,1,1.3592603206634521,-33.79,19.9
16,16,16,1.1219613552093506,-34.03,18.26
17,17,7,1.3624387979507446,-34.8002,20.0569
18,18,1,2.108867645263672,-34.15,19.9
19,19,20,1.3896132707595825,-33.65,19.01
20,20,1,1.9108415842056274,-33.66,19.42
