,Node,Target,Weight,Latitude,Longitude
0,0,20,1.5268429517745972,-33.4,18.48
1,1,0,1.2344155311584473,-31.48,19.76
2,2,17,3.6936590671539307,-32.83,17.86
3,3,17,1.717390537261963,-34.42,18.44
4,4,6,1.0321720838546753,-33.55,18.4
5,5,9,1.4252156019210815,-34.3,18.32
6,6,1,2.1654624938964844,-32.96,19.43
7,7,7,1.4807474613189697,-34.43,19.22
8,8,8,1.7689279317855835,-33.97,18.92
9,9,9,2.087099552154541,-34.15,18.48
10,10,7,1.4801961183547974,-33.5,21.27
11,11,11,1.2533725500106812,-33.88,18.59
12,12,1,1.9830641746520996,-33.5,18.97
13,13,1,2.5191400051116943,-33.01,18.98
14,14,20,1.3271628618240356,-33.74,18.37
15,15,1,1.8558287620544434,-33.79,19.9
16,16,6,1.156775712966919,-34.03,18.26
17,17,7,1.2169442176818848,-34.8002,20.0569
18,18,1,2.1785500049591064,-34.15,19.9
19,19,17,1.635969638824463,-33.65,19.01
20,20,1,2.1945786476135254,-33.66,19.42
