,Node,Target,Weight,Latitude,Longitude
0,0,0,1.4510366916656494,-33.4,18.48
1,1,13,1.4427357912063599,-31.48,19.76
2,2,17,2.3568975925445557,-32.83,17.86
3,3,5,1.7703444957733154,-34.42,18.44
4,4,4,1.5009617805480957,-33.55,18.4
5,5,12,1.374222993850708,-34.3,18.32
6,6,1,1.8851350545883179,-32.96,19.43
7,7,7,1.5949674844741821,-34.43,19.22
8,8,8,1.8861565589904785,-33.97,18.92
9,9,9,2.4355759620666504,-34.15,18.48
10,10,17,1.4729641675949097,-33.5,21.27
11,11,15,1.1789169311523438,-33.88,18.59
12,12,1,1.9320876598358154,-33.5,18.97
13,13,1,2.3901333808898926,-33.01,18.98
14,14,20,1.219034194946289,-33.74,18.37
15,15,15,1.3972870111465454,-33.79,19.9
16,16,16,1.1497682332992554,-34.03,18.26
17,17,7,1.440531849861145,-34.8002,20.0569
18,18,17,2.453282594680786,-34.15,19.9
19,19,3,1.1503485441207886,-33.65,19.01
20,20,1,2.1351077556610107,-33.66,19.42
