,Node,Target,Weight,Latitude,Longitude
0,0,20,1.4981164932250977,-33.4,18.48
1,1,18,1.2029367685317993,-31.48,19.76
2,2,17,2.481537103652954,-32.83,17.86
3,3,5,1.7931787967681885,-34.42,18.44
4,4,4,1.1264021396636963,-33.55,18.4
5,5,12,1.0203300714492798,-34.3,18.32
6,6,1,1.859684944152832,-32.96,19.43
7,7,7,1.574772596359253,-34.43,19.22
8,8,8,1.9817792177200317,-33.97,18.92
9,9,9,2.4911136627197266,-34.15,18.48
10,10,6,1.3408528566360474,-33.5,21.27
11,11,3,1.1111701726913452,-33.88,18.59
12,12,1,1.5779094696044922,-33.5,18.97
13,13,0,2.060870409011841,-33.01,18.98
14,14,20,1.3819271326065063,-33.74,18.37
15,15,15,1.4483662843704224,-33.79,19.9
16,16,16,1.1918840408325195,-34.03,18.26
17,17,7,1.2038862705230713,-34.8002,20.0569
18,18,1,2.137059450149536,-34.15,19.9
19,19,3,1.4537516832351685,-33.65,19.01
20,20,1,2.1859285831451416,-33.66,19.42
