,Node,Target,Weight,Latitude,Longitude
0,0,0,1.3180094957351685,-33.4,18.48
1,1,0,1.204424500465393,-31.48,19.76
2,2,17,3.2210118770599365,-32.83,17.86
3,3,3,1.6272714138031006,-34.42,18.44
4,4,6,0.9472125172615051,-33.55,18.4
5,5,12,1.3322025537490845,-34.3,18.32
6,6,1,2.296910285949707,-32.96,19.43
7,7,17,1.2498500347137451,-34.43,19.22
8,8,8,2.0793166160583496,-33.97,18.92
9,9,9,2.125511646270752,-34.15,18.48
10,10,1,1.7718678712844849,-33.5,21.27
11,11,11,1.3090674877166748,-33.88,18.59
12,12,1,2.038212776184082,-33.5,18.97
13,13,1,1.8646010160446167,-33.01,18.98
14,14,9,1.1574355363845825,-33.74,18.37
15,15,1,2.084951639175415,-33.79,19.9
16,16,16,1.1738044023513794,-34.03,18.26
17,17,7,1.5394933223724365,-34.8002,20.0569
18,18,1,2.4894485473632812,-34.15,19.9
19,19,17,1.3026962280273438,-33.65,19.01
20,20,1,2.417206048965454,-33.66,19.42
