,Node,Target,Weight,Latitude,Longitude
0,0,1,0.049963005,-33.4,18.48
1,1,1,0.05329328,-31.48,19.76
2,2,8,0.049846075,-32.83,17.86
3,3,2,0.04908176,-34.42,18.44
4,4,8,0.050988685,-33.55,18.4
5,5,15,0.049488008,-34.3,18.32
6,6,1,0.0523698,-32.96,19.43
7,7,8,0.0499973,-34.43,19.22
8,8,1,0.049127106,-33.97,18.92
9,9,8,0.04911768,-34.15,18.48
10,10,1,0.05160699,-33.5,21.27
11,11,6,0.050337035,-33.88,18.59
12,12,13,0.051164214,-33.5,18.97
13,13,1,0.051999502,-33.01,18.98
14,14,8,0.049922585,-33.74,18.37
15,15,1,0.05142133,-33.79,19.9
16,16,6,0.055322528,-34.03,18.26
17,17,18,0.051863518,-34.8002,20.0569
18,18,18,0.051521614,-34.15,19.9
19,19,1,0.05102357,-33.65,19.01
20,20,1,0.051597137,-33.66,19.42
