,Node,Target,Weight,Latitude,Longitude
0,0,1,0.050460618,-33.4,18.48
1,1,4,0.055345006,-31.48,19.76
2,2,8,0.051033348,-32.83,17.86
3,3,2,0.05045068,-34.42,18.44
4,4,8,0.05251968,-33.55,18.4
5,5,15,0.05106616,-34.3,18.32
6,6,1,0.051586896,-32.96,19.43
7,7,8,0.050669603,-34.43,19.22
8,8,9,0.04932606,-33.97,18.92
9,9,8,0.050026823,-34.15,18.48
10,10,18,0.052177306,-33.5,21.27
11,11,5,0.052149307,-33.88,18.59
12,12,15,0.052990884,-33.5,18.97
13,13,1,0.05205414,-33.01,18.98
14,14,8,0.051293746,-33.74,18.37
15,15,8,0.05147136,-33.79,19.9
16,16,1,0.05723912,-34.03,18.26
17,17,18,0.053980418,-34.8002,20.0569
18,18,18,0.053627793,-34.15,19.9
19,19,2,0.051068816,-33.65,19.01
20,20,8,0.052321583,-33.66,19.42
