,Node,Target,Weight,Latitude,Longitude
0,0,9,0.05347164,-33.4,18.48
1,1,11,0.07609853,-31.48,19.76
2,2,13,0.05512065,-32.83,17.86
3,3,2,0.077318296,-34.42,18.44
4,4,10,0.06272539,-33.55,18.4
5,5,15,0.07369973,-34.3,18.32
6,6,18,0.06063983,-32.96,19.43
7,7,15,0.05349639,-34.43,19.22
8,8,9,0.055140954,-33.97,18.92
9,9,8,0.05341996,-34.15,18.48
10,10,2,0.10031506,-33.5,21.27
11,11,5,0.09742303,-33.88,18.59
12,12,15,0.059126977,-33.5,18.97
13,13,15,0.055287074,-33.01,18.98
14,14,8,0.05975056,-33.74,18.37
15,15,8,0.058212258,-33.79,19.9
16,16,7,0.1006469,-34.03,18.26
17,17,18,0.08174345,-34.8002,20.0569
18,18,4,0.08061513,-34.15,19.9
19,19,2,0.091392614,-33.65,19.01
20,20,10,0.054489374,-33.66,19.42
