,Node,Target,Weight,Latitude,Longitude
0,0,1,0.04961493,-33.4,18.48
1,1,6,0.051173545,-31.48,19.76
2,2,1,0.049446095,-32.83,17.86
3,3,1,0.04878253,-34.42,18.44
4,4,1,0.049161505,-33.55,18.4
5,5,1,0.048586212,-34.3,18.32
6,6,6,0.05040975,-32.96,19.43
7,7,1,0.049295828,-34.43,19.22
8,8,6,0.048025347,-33.97,18.92
9,9,6,0.047946297,-34.15,18.48
10,10,6,0.050220322,-33.5,21.27
11,11,1,0.0486209,-33.88,18.59
12,12,1,0.049441945,-33.5,18.97
13,13,1,0.04985044,-33.01,18.98
14,14,1,0.048985686,-33.74,18.37
15,15,1,0.049647726,-33.79,19.9
16,16,1,0.04888514,-34.03,18.26
17,17,1,0.049689554,-34.8002,20.0569
18,18,1,0.04994677,-34.15,19.9
19,19,1,0.049039066,-33.65,19.01
20,20,1,0.049847227,-33.66,19.42
