,Node,Target,Weight,Latitude,Longitude
0,0,1,0.050430056,-33.4,18.48
1,1,4,0.057875607,-31.48,19.76
2,2,8,0.050963804,-32.83,17.86
3,3,2,0.050384004,-34.42,18.44
4,4,8,0.05188048,-33.55,18.4
5,5,15,0.050860863,-34.3,18.32
6,6,1,0.052768663,-32.96,19.43
7,7,8,0.05169685,-34.43,19.22
8,8,9,0.049736794,-33.97,18.92
9,9,8,0.049063515,-34.15,18.48
10,10,18,0.052174088,-33.5,21.27
11,11,1,0.056142204,-33.88,18.59
12,12,15,0.05308739,-33.5,18.97
13,13,8,0.052439284,-33.01,18.98
14,14,8,0.0520643,-33.74,18.37
15,15,8,0.05166532,-33.79,19.9
16,16,1,0.059371743,-34.03,18.26
17,17,18,0.05392553,-34.8002,20.0569
18,18,18,0.053988907,-34.15,19.9
19,19,2,0.05120392,-33.65,19.01
20,20,8,0.052251324,-33.66,19.42
