,Node,Target,Weight,Latitude,Longitude
0,0,1,0.049246926,-33.4,18.48
1,1,1,0.05171857,-31.48,19.76
2,2,6,0.049029425,-32.83,17.86
3,3,6,0.048707884,-34.42,18.44
4,4,6,0.049325198,-33.55,18.4
5,5,6,0.04882004,-34.3,18.32
6,6,1,0.05047413,-32.96,19.43
7,7,6,0.04948138,-34.43,19.22
8,8,1,0.048233148,-33.97,18.92
9,9,6,0.04842263,-34.15,18.48
10,10,1,0.05110684,-33.5,21.27
11,11,1,0.04888022,-33.88,18.59
12,12,1,0.049699474,-33.5,18.97
13,13,1,0.050344136,-33.01,18.98
14,14,6,0.04889833,-33.74,18.37
15,15,1,0.049853243,-33.79,19.9
16,16,6,0.052238703,-34.03,18.26
17,17,6,0.04929898,-34.8002,20.0569
18,18,1,0.050071627,-34.15,19.9
19,19,1,0.049365435,-33.65,19.01
20,20,1,0.050459273,-33.66,19.42
