,Node,Target,Weight,Latitude,Longitude
0,0,9,0.06707582,-33.4,18.48
1,1,9,0.08929599,-31.48,19.76
2,2,2,0.0760928,-32.83,17.86
3,3,2,0.11477627,-34.42,18.44
4,4,10,0.08270835,-33.55,18.4
5,5,15,0.10659688,-34.3,18.32
6,6,18,0.069913015,-32.96,19.43
7,7,15,0.057340283,-34.43,19.22
8,8,16,0.05814742,-33.97,18.92
9,9,8,0.071463406,-34.15,18.48
10,10,2,0.14777283,-33.5,21.27
11,11,5,0.14822184,-33.88,18.59
12,12,2,0.07563756,-33.5,18.97
13,13,5,0.06959794,-33.01,18.98
14,14,8,0.079888076,-33.74,18.37
15,15,8,0.057754777,-33.79,19.9
16,16,7,0.2015135,-34.03,18.26
17,17,18,0.10929775,-34.8002,20.0569
18,18,4,0.1062423,-34.15,19.9
19,19,2,0.15008365,-33.65,19.01
20,20,10,0.056877732,-33.66,19.42
