,Node,Target,Weight,Latitude,Longitude
0,0,1,0.049536206,-33.4,18.48
1,1,6,0.051059924,-31.48,19.76
2,2,1,0.04918357,-32.83,17.86
3,3,1,0.048883393,-34.42,18.44
4,4,1,0.049093947,-33.55,18.4
5,5,1,0.048495755,-34.3,18.32
6,6,6,0.05038219,-32.96,19.43
7,7,1,0.049192708,-34.43,19.22
8,8,6,0.048058074,-33.97,18.92
9,9,6,0.047930047,-34.15,18.48
10,10,6,0.050138373,-33.5,21.27
11,11,1,0.048576564,-33.88,18.59
12,12,1,0.04964734,-33.5,18.97
13,13,1,0.049887918,-33.01,18.98
14,14,1,0.048893247,-33.74,18.37
15,15,1,0.049484402,-33.79,19.9
16,16,1,0.04885744,-34.03,18.26
17,17,1,0.05016025,-34.8002,20.0569
18,18,1,0.04991253,-34.15,19.9
19,19,1,0.049067482,-33.65,19.01
20,20,1,0.04994636,-33.66,19.42
