,Node,Target,Weight,Latitude,Longitude
0,0,9,0.14890385,-33.4,18.48
1,1,9,0.19824255,-31.48,19.76
2,2,2,0.18110374,-32.83,17.86
3,3,2,0.32204086,-34.42,18.44
4,4,10,0.12968518,-33.55,18.4
5,5,15,0.1775822,-34.3,18.32
6,6,18,0.1300695,-32.96,19.43
7,7,7,0.074338615,-34.43,19.22
8,8,16,0.09336245,-33.97,18.92
9,9,8,0.11432291,-34.15,18.48
10,10,2,0.44362885,-33.5,21.27
11,11,5,0.45046762,-33.88,18.59
12,12,7,0.14968143,-33.5,18.97
13,13,2,0.201842,-33.01,18.98
14,14,10,0.111178525,-33.74,18.37
15,15,16,0.059503328,-33.79,19.9
16,16,7,0.5110648,-34.03,18.26
17,17,18,0.22590382,-34.8002,20.0569
18,18,18,0.2755152,-34.15,19.9
19,19,2,0.34787542,-33.65,19.01
20,20,7,0.0937644,-33.66,19.42
