,Node,Target,Weight,Latitude,Longitude
0,0,1,0.04969785,-33.4,18.48
1,1,6,0.050691154,-31.48,19.76
2,2,1,0.048981193,-32.83,17.86
3,3,1,0.048152413,-34.42,18.44
4,4,1,0.048891973,-33.55,18.4
5,5,1,0.048515618,-34.3,18.32
6,6,6,0.050158117,-32.96,19.43
7,7,1,0.049178798,-34.43,19.22
8,8,1,0.04811281,-33.97,18.92
9,9,6,0.047883496,-34.15,18.48
10,10,6,0.049875136,-33.5,21.27
11,11,1,0.04820477,-33.88,18.59
12,12,1,0.049499206,-33.5,18.97
13,13,1,0.049792226,-33.01,18.98
14,14,1,0.04873326,-33.74,18.37
15,15,1,0.04948667,-33.79,19.9
16,16,1,0.04866601,-34.03,18.26
17,17,1,0.049381766,-34.8002,20.0569
18,18,1,0.04965283,-34.15,19.9
19,19,1,0.049121715,-33.65,19.01
20,20,1,0.04982244,-33.66,19.42
