,Node,Target,Weight,Latitude,Longitude
0,0,1,0.050011147,-33.4,18.48
1,1,6,0.052042674,-31.48,19.76
2,2,1,0.04956596,-32.83,17.86
3,3,1,0.049206305,-34.42,18.44
4,4,1,0.04966471,-33.55,18.4
5,5,1,0.049217727,-34.3,18.32
6,6,6,0.051151607,-32.96,19.43
7,7,1,0.049962047,-34.43,19.22
8,8,1,0.048549976,-33.97,18.92
9,9,1,0.04822782,-34.15,18.48
10,10,6,0.051002495,-33.5,21.27
11,11,1,0.050451618,-33.88,18.59
12,12,1,0.050158113,-33.5,18.97
13,13,1,0.050827373,-33.01,18.98
14,14,1,0.049319763,-33.74,18.37
15,15,1,0.050398815,-33.79,19.9
16,16,1,0.051605973,-34.03,18.26
17,17,1,0.049959455,-34.8002,20.0569
18,18,1,0.05077849,-34.15,19.9
19,19,1,0.049713664,-33.65,19.01
20,20,1,0.050833486,-33.66,19.42
