,Node,Target,Weight,Latitude,Longitude
0,0,9,0.089264415,-33.4,18.48
1,1,9,0.1169199,-31.48,19.76
2,2,2,0.10033056,-32.83,17.86
3,3,2,0.17040555,-34.42,18.44
4,4,10,0.0997117,-33.55,18.4
5,5,15,0.1247596,-34.3,18.32
6,6,18,0.077567264,-32.96,19.43
7,7,7,0.06054069,-34.43,19.22
8,8,16,0.06556449,-33.97,18.92
9,9,8,0.09133031,-34.15,18.48
10,10,2,0.21784323,-33.5,21.27
11,11,5,0.23201717,-33.88,18.59
12,12,2,0.08485174,-33.5,18.97
13,13,5,0.085043736,-33.01,18.98
14,14,8,0.08016577,-33.74,18.37
15,15,5,0.056671146,-33.79,19.9
16,16,7,0.29451463,-34.03,18.26
17,17,18,0.13982189,-34.8002,20.0569
18,18,18,0.13097481,-34.15,19.9
19,19,2,0.1999727,-33.65,19.01
20,20,7,0.06184491,-33.66,19.42
