,Node,Target,Weight,Latitude,Longitude
0,0,1,0.050127603,-33.4,18.48
1,1,13,0.051596966,-31.48,19.76
2,2,1,0.049691588,-32.83,17.86
3,3,1,0.04907693,-34.42,18.44
4,4,1,0.04990102,-33.55,18.4
5,5,1,0.049223144,-34.3,18.32
6,6,13,0.050787047,-32.96,19.43
7,7,1,0.050060976,-34.43,19.22
8,8,1,0.048780505,-33.97,18.92
9,9,1,0.04858443,-34.15,18.48
10,10,13,0.05151798,-33.5,21.27
11,11,1,0.052759994,-33.88,18.59
12,12,1,0.050137002,-33.5,18.97
13,13,1,0.050981376,-33.01,18.98
14,14,1,0.049606767,-33.74,18.37
15,15,1,0.050597426,-33.79,19.9
16,16,1,0.053959828,-34.03,18.26
17,17,1,0.05001055,-34.8002,20.0569
18,18,1,0.050907448,-34.15,19.9
19,19,1,0.049684312,-33.65,19.01
20,20,1,0.050977606,-33.66,19.42
