,Node,Target,Weight,Latitude,Longitude
0,0,1,0.049760792,-33.4,18.48
1,1,6,0.051234644,-31.48,19.76
2,2,1,0.049301505,-32.83,17.86
3,3,1,0.04852123,-34.42,18.44
4,4,1,0.049232535,-33.55,18.4
5,5,1,0.04891982,-34.3,18.32
6,6,6,0.050544944,-32.96,19.43
7,7,1,0.049413722,-34.43,19.22
8,8,1,0.04806053,-33.97,18.92
9,9,1,0.047901385,-34.15,18.48
10,10,6,0.05007444,-33.5,21.27
11,11,1,0.04848129,-33.88,18.59
12,12,1,0.049627084,-33.5,18.97
13,13,1,0.05008701,-33.01,18.98
14,14,1,0.049196936,-33.74,18.37
15,15,1,0.049556926,-33.79,19.9
16,16,1,0.049129684,-34.03,18.26
17,17,1,0.049688395,-34.8002,20.0569
18,18,1,0.050035544,-34.15,19.9
19,19,1,0.049232665,-33.65,19.01
20,20,1,0.04999142,-33.66,19.42
