,Node,Target,Weight,Latitude,Longitude
0,0,9,0.08947822,-33.4,18.48
1,1,9,0.11642498,-31.48,19.76
2,2,2,0.0941748,-32.83,17.86
3,3,2,0.16581279,-34.42,18.44
4,4,10,0.10090919,-33.55,18.4
5,5,15,0.12408816,-34.3,18.32
6,6,18,0.0854973,-32.96,19.43
7,7,6,0.06025683,-34.43,19.22
8,8,16,0.065525346,-33.97,18.92
9,9,8,0.08897364,-34.15,18.48
10,10,2,0.203028,-33.5,21.27
11,11,5,0.23415548,-33.88,18.59
12,12,2,0.08585527,-33.5,18.97
13,13,5,0.083398394,-33.01,18.98
14,14,8,0.08123606,-33.74,18.37
15,15,5,0.05672844,-33.79,19.9
16,16,7,0.29332805,-34.03,18.26
17,17,18,0.13625187,-34.8002,20.0569
18,18,18,0.13497539,-34.15,19.9
19,19,2,0.1971502,-33.65,19.01
20,20,7,0.060371984,-33.66,19.42
