,Node,Target,Weight,Latitude,Longitude
0,0,1,0.049645364,-33.4,18.48
1,1,6,0.051504526,-31.48,19.76
2,2,1,0.049443144,-32.83,17.86
3,3,1,0.048854142,-34.42,18.44
4,4,1,0.049473528,-33.55,18.4
5,5,1,0.048729826,-34.3,18.32
6,6,6,0.050857488,-32.96,19.43
7,7,1,0.049620584,-34.43,19.22
8,8,1,0.04833861,-33.97,18.92
9,9,1,0.048184995,-34.15,18.48
10,10,6,0.050795924,-33.5,21.27
11,11,1,0.04981387,-33.88,18.59
12,12,1,0.049640823,-33.5,18.97
13,13,1,0.050270032,-33.01,18.98
14,14,1,0.049173694,-33.74,18.37
15,15,1,0.049838845,-33.79,19.9
16,16,1,0.05047824,-34.03,18.26
17,17,1,0.049761046,-34.8002,20.0569
18,18,1,0.05003022,-34.15,19.9
19,19,1,0.04916647,-33.65,19.01
20,20,1,0.050074805,-33.66,19.42
