,Node,Target,Weight,Latitude,Longitude
0,0,1,0.05014411,-33.4,18.48
1,1,1,0.052957326,-31.48,19.76
2,2,13,0.04930927,-32.83,17.86
3,3,1,0.048904598,-34.42,18.44
4,4,13,0.04976758,-33.55,18.4
5,5,15,0.048786923,-34.3,18.32
6,6,1,0.051760033,-32.96,19.43
7,7,13,0.04969011,-34.43,19.22
8,8,1,0.048963,-33.97,18.92
9,9,13,0.048643254,-34.15,18.48
10,10,1,0.05239001,-33.5,21.27
11,11,1,0.050363757,-33.88,18.59
12,12,13,0.0507233,-33.5,18.97
13,13,1,0.051640257,-33.01,18.98
14,14,13,0.0491272,-33.74,18.37
15,15,1,0.05106728,-33.79,19.9
16,16,6,0.054840773,-34.03,18.26
17,17,18,0.05032376,-34.8002,20.0569
18,18,1,0.051067214,-34.15,19.9
19,19,1,0.05056359,-33.65,19.01
20,20,1,0.051347192,-33.66,19.42
