,Node,Target,Weight,Latitude,Longitude
0,0,6,0.049194098,-33.4,18.48
1,1,1,0.050846606,-31.48,19.76
2,2,6,0.049240496,-32.83,17.86
3,3,6,0.048519164,-34.42,18.44
4,4,6,0.049423635,-33.55,18.4
5,5,6,0.049127076,-34.3,18.32
6,6,1,0.050209884,-32.96,19.43
7,7,6,0.049416862,-34.43,19.22
8,8,1,0.048348173,-33.97,18.92
9,9,6,0.048233375,-34.15,18.48
10,10,1,0.05056773,-33.5,21.27
11,11,6,0.049092576,-33.88,18.59
12,12,6,0.049259584,-33.5,18.97
13,13,1,0.04998396,-33.01,18.98
14,14,6,0.04914414,-33.74,18.37
15,15,1,0.04964969,-33.79,19.9
16,16,6,0.049654923,-34.03,18.26
17,17,6,0.0495658,-34.8002,20.0569
18,18,1,0.04979975,-34.15,19.9
19,19,1,0.0489591,-33.65,19.01
20,20,1,0.049991865,-33.66,19.42
