,Node,Target,Weight,Latitude,Longitude
0,0,1,0.050010506,-33.4,18.48
1,1,1,0.053563375,-31.48,19.76
2,2,13,0.049177933,-32.83,17.86
3,3,1,0.04878468,-34.42,18.44
4,4,13,0.049879327,-33.55,18.4
5,5,6,0.048978794,-34.3,18.32
6,6,1,0.05193985,-32.96,19.43
7,7,13,0.049673885,-34.43,19.22
8,8,1,0.048731223,-33.97,18.92
9,9,6,0.04850089,-34.15,18.48
10,10,1,0.05257869,-33.5,21.27
11,11,1,0.050012242,-33.88,18.59
12,12,1,0.05054859,-33.5,18.97
13,13,1,0.051550508,-33.01,18.98
14,14,6,0.04906006,-33.74,18.37
15,15,1,0.05104922,-33.79,19.9
16,16,6,0.055309147,-34.03,18.26
17,17,18,0.05021326,-34.8002,20.0569
18,18,1,0.050949868,-34.15,19.9
19,19,1,0.05047865,-33.65,19.01
20,20,1,0.05129279,-33.66,19.42
