,Node,Target,Weight,Latitude,Longitude
0,0,1,0.050025687,-33.4,18.48
1,1,6,0.05144158,-31.48,19.76
2,2,1,0.049570937,-32.83,17.86
3,3,1,0.04876897,-34.42,18.44
4,4,1,0.049133357,-33.55,18.4
5,5,1,0.048854835,-34.3,18.32
6,6,6,0.050658498,-32.96,19.43
7,7,1,0.049327344,-34.43,19.22
8,8,1,0.048248608,-33.97,18.92
9,9,6,0.047988612,-34.15,18.48
10,10,6,0.05030846,-33.5,21.27
11,11,1,0.04859377,-33.88,18.59
12,12,1,0.049695943,-33.5,18.97
13,13,1,0.050093625,-33.01,18.98
14,14,1,0.04905413,-33.74,18.37
15,15,1,0.04958277,-33.79,19.9
16,16,1,0.049129732,-34.03,18.26
17,17,1,0.050065152,-34.8002,20.0569
18,18,1,0.05025868,-34.15,19.9
19,19,1,0.049372986,-33.65,19.01
20,20,1,0.050159685,-33.66,19.42
